foa-0001	permission final episode
iir_11_5	reading introductions probability_theory probability theory can introductory probability_and_statistics probability statistics books introduction utility_theory utility theory can probabilistic_approach probabilistic approach first presentation probabilistic_model probabilistic model foundations detail probabilistic_model probabilistic model idea term work presentation probabilistic_ir probabilistic coverage approaches probabilistic logics bayesian_networks networks survey 2000 presentation probabilistic_ir probabilistic experiments school retrospective group participation evaluations discussion okapi_bm25 scoring_function scoring function its development extend case weighted fields open-source search_engine search engine distributed toolkit ideas bayesian_inference inference networks statistical_language_modeling statistical language modeling approaches see support for structured_query structured query operators
iir_12	language_models models for information_retrieval information retrieval suggestion users for queries think words relevant_document relevant document use words query language_modeling_approach language modeling approach models idea document match query document model query will document query words approach realization basic ideas for document_ranking document ranking saw page modeling probability_of_relevance probability relevance document query traditional probabilistic_approach probabilistic approach basic language_modeling_approach language modeling approach probabilistic_language_model probabilistic language model document documents probability model query first concept language_models language models basic language_modeling_approach language modeling approach comparisons language_modeling_approach language modeling approach approaches extensions language_modeling_approach language modeling approach language_models models finite_automata automata language_models language models language_models language models distributions words query likelihood model query likelihood language_models language models query_generation query generation probability language_modeling modeling approaches language_modeling language modeling approaches reading
iir_12_1_1	finite_automata automata language_models language models mean document_model document model query traditional generative_model generative model language familiar formal_language_theory formal language theory can strings example finite_automaton finite automaton can strings examples set strings can language automaton node probability_distribution probability distribution terms language_model language model language_model language model probabilistic language_model language model function probability measure strings vocabulary for language_model language model alphabet example find probability word_sequence word sequence probabilities model word sequence probability stopping word example likelihood_ratio likelihood example partial_specification specification unigram language models example now language_models language models probability_estimate probability estimate sequence terms language_model language model probability sequence terms term sequence time will probabilities calculations sequence see present formulas terms products probabilities probabilistic_applications probabilistic applications practice work sums log probabilities page example
iir_12_1_2	language_models language models build probabilities sequences terms can use chain_rule rule probability sequence events probability event events unigram_language_model unigram language model bigram language models speech_recognition speech recognition spelling_correction spelling correction machine_translation machine translation bias-variance_tradeoff tradeoff
iir_12_1_3	distributions words unigram_language_model unigram language model order words models bag_of_words bag words models page context model probability ordering terms ordering bag terms will same probability multinomial_distribution multinomial distribution words unigram models language_model language model name motivation historical model multinomial_model multinomial model perspective equations present multinomial probability bag_of_words bag words sum orderings words multinomial coefficient first term right-hand_side standard presentation multinomial_model multinomial model problem language_models language models use model sample text representative model problem sense language_models language models example speech_recognition speech recognition training_sample training sample spoken text future users will use words sequences model data words sequences interpretation case document finite strategy adopt document representative sample text model distribution like fine-grained topic estimate language_model language model sample use model probability word_sequence word sequence rank documents probability query probabilities will sum probability estimates strings language length word string language probability calculations will sum strings language length likelihood_ratio likelihood document explicit probability probability model change likelihood_ratio likelihood document models language_model language model spelling_correction_system spelling correction system case context-sensitive_spelling_correction context-sensitive spelling correction usages words page for pointers literature topic
iir_12_2_1	query likelihood language_models language models language_modeling modeling general formal_approach formal approach variant basic method for language_models language models query likelihood model construct document collection language_model language model goal rank documents probability document likelihood relevant query rule way multinomial unigram_language_model unigram language model equivalent multinomial naive_bayes_model model page documents classes estimation language model retrieval language_model language model generation queries random_process random process approach for document probability query document_models document models documents probabilities
iir_12_2_2	query_generation query generation probability section estimate probability query document maximum_likelihood_estimation maximum likelihood estimation unigram assumption problem language_models language models estimation symbol stress model terms documents words will document words for information_need information need user query estimate for term document semantics documents will query probability query terms document probabilities problem language_models language models predicting next word speech_recognition speech recognition application words will training_data training data seem application thought human-computer_interface human-computer interface issue vector_space vector space systems matching web_search web search developments direction semantics approach general problem estimation words probability words document occurrence chance answer saw smoothing people come approach role smoothing model zero probabilities smoothing terms term_weighting term weighting component model semantics model term_weighting term weighting component need probabilities document language models probabilities probability mass words wide space approaches smoothing probability_distributions probability distributions problem page number small probability section will smoothing_methods smoothing methods combining general reference probability_distribution probability distribution general approach term query its probability chance collection linear_interpolation linear interpolation alternative use language_model language model collection prior_distribution distribution bayesian_updating updating process uniform_distribution distribution saw following equation smoothing_methods smoothing methods experiments will linear_interpolation linear interpolation smoothing_method smoothing method for rest section detail probability estimate for word present document estimate its prevalence collection for words present document estimate estimate prevalence word collection role smoothing for estimation problems models first now smoothing properties models for smoothing models parameters small value large value smoothing parameter can optimize performance line_search line search for linear_interpolation linear interpolation model methods expectation algorithm see value need approach make value function query size small smoothing search for queries smoothing for long_queries queries summarize retrieval ranking for query basic for example document collection documents reports revenue down loss revenue query revenue down example
iir_12_2_3	present first experiments language_modeling_approach language modeling approach information_retrieval information retrieval basic approach model now approach language_model language model 2000 multivariate model use standard work approach experimental_results experimental results evidence text_classification text classification page for effectiveness term_weights term weights come language_modeling_approach language modeling approach traditional tf-idf weights present subset results tf-idf language_modeling language modeling topics disks queries natural_language natural language queries language_modeling_approach language modeling approach results baseline tf-idf_based term_weighting term weighting approach gains work making language_model language model following training_text training text pop sensation unigram_probability unigram probability model bigram_model bigram model collection documents table document_text text click click click click click click click query likelihood language_model language model for document_collection document collection mixture_model model documents collection weighted maximum_likelihood_estimation likelihood estimation mle estimate unigram models model probabilities queries click click for document use probabilities rank documents query probabilities table click click final ranking documents for query click calculations inspiration examples write sentence treatment model following present model effect raw term_frequency frequency document_collection document frequency term document_frequency frequency term length_normalization normalization term mixture_model model approach query likelihood model probability estimate term term_frequency term frequency word document collection frequency word term query vocabulary chance document subtle effect form term_weighting term weighting saw answer concrete numeric example term_weighting term weighting work
iir_12_3	language_modeling modeling approaches language_modeling_approach language modeling approach way looking problem text_retrieval text retrieval links work speech language processing language_modeling_approach language modeling approach approach scoring queries documents hope probabilistic_language_modeling probabilistic language modeling weights performance model issue estimation document model model retrieval results probabilistic_approaches probabilistic approaches difference approach modeling relevance central variable approach way think things papers approach documents expressions information_needs information needs objects same type match tools_and_methods tools methods language_modeling language modeling speech natural language processing model precise simple tractable situation xml_retrieval retrieval approaches queries documents objects same type hand like ir_models models can model assumption equivalence document information_need information need representation approaches use simple models language unigram models explicit relevance relevance_feedback relevance feedback difficult integrate model user_preferences user preferences move unigram_model unigram model phrase passage matching boolean_retrieval retrieval operators work approach addressing concerns relevance model language mismatch query_language query language document language model relations traditional tf-idf models term_frequency frequency tf-idf models work importance document_length_normalization document length normalization effect document_generation document generation probability collection generation probability little like idf terms general collection documents will influence ranking documents concrete models share terms independent hand probabilistic geometric mathematical_models models heuristic statistics like term_frequency term frequency document_length document length performance work approach effective retrieval experiments tf-idf weights evidence its performance traditional vector_space_retrieval vector space retrieval system implementation
iir_12_4	language_modeling language modeling approaches section work basic language_modeling_approach language modeling approach think language_modeling language modeling idea settings work looking probability document_language_model document language model query can probability query_language_model query language model document things direction document likelihood model text estimate language_model language model query text model will will language_model language model hand see relevance_feedback relevance feedback model can query terms relevant documents way update language_model language model modeling approach model relevance_model relevance model instance document likelihood model pseudo-relevance_feedback feedback language_modeling_approach language modeling approach empirical_results empirical results language_modeling_approach language modeling approach query likelihood document likelihood model_comparison model comparison direction can make language_model language model document query language_models language models thinking problem general risk_minimization risk minimization approach for document_retrieval document retrieval instance way model risk document relevant query use divergence language_models language models address issues expression synonymy use language queries documents translation_models translation models bridge gap translation_model translation model query words document translation terms meaning basis for cross-language_ir cross-language translation_model translation model can conditional_probability_distribution probability distribution vocabulary terms form translation query_generation query generation model approaches active area research general translation_models translation models relevance_feedback relevance feedback models model_comparison model comparison approaches performance basic query likelihood
iir_12_5	reading basic concepts probabilistic_language probabilistic language models techniques for smoothing see papers language_modeling_approach language modeling approach relevant papers can next proceedings collection papers workshop language_modeling language modeling approaches review thread work language_modeling language modeling approaches for tasks role smoothing for present empirical comparisons smoothing_methods smoothing methods predictive distributions point estimates bayesian_smoothing smoothing linear interpolation two-stage_smoothing smoothing model first bayesian_smoothing smoothing linear_interpolation linear interpolation model task form smoothing feature approach way kinds prior_information information model demonstrate value link_information link information web entry page retrieval_performance retrieval performance page gains smoothing document estimates cluster documents report gains document-similarity_based smoothing present results approach use weights work gains unigram_model unigram model higher_order order models lower order models gains date critical viewpoint rationale for language_modeling_approach language modeling approach unified account can probabilistic_semantics probabilistic semantics language_modeling_approach language modeling approach probabilistic_information_retrieval probabilistic information retrieval approach flexible open_source open framework for language_modeling language modeling approaches
iir_13	text_classification classification naive_bayes far book process ad_hoc_retrieval retrieval users transient information_needs information needs address queries search_engine search engine users information_needs information needs example need track developments multicore computer way issue query multicore computer chip index following question can repetitive_task task automated systems support queries standing_query query like query collection documents time standing_query query multicore computer chip will relevant use terms multicore_processors multicore processors recall queries time can complex example search_engine search engine stemming query like multicore multi-core chip processor microprocessor capture generality scope problem_space problem space queries now general classification_problem classification problem set classes class object example standing_query query classes documents multicore computer documents multicore computer two-class_classification classification queries routing filtering will page class need focused standing_query query multicore computer class general area like general classes topics classification_task classification task text_classification text classification text_categorization text categorization topic_classification topic classification topic_spotting topic example for queries topics degree specificity methods for solving routing filtering text_classification text classification same routing filtering rubric text_classification text classification following classification general applications information_retrieval information retrieval instance computer_vision computer vision classifier images classes landscape portrait focus examples information_retrieval information retrieval preprocessing for indexing document encoding page word_segmentation word segmentation white_space space word_boundary word boundary page page language document page automatic detection spam pages search_engine search engine index automatic detection explicit content search_results search results user option sentiment_detection detection automatic classification movie product_review product review positive negative example application user searching for negative reviews camera make features quality problems email sorting user folders like announcements electronic email family_and_friends family friends classifier email move find messages folders very_large large inbox case application spam spam messages vertical_search vertical search vertical_search_engines search restrict topic example query computer_science computer science vertical_search_engine vertical search engine for topic will list computer_science computer science precision_and_recall precision recall query computer_science computer science general purpose search_engine search engine vertical_search_engine vertical search engine web_pages web pages its index term china sense relevant pages term ranking_function ranking function ad_hoc_information_retrieval information retrieval can document classifier will explain page list general importance classification retrieval_systems retrieval systems components use form classifier classification_task classification task will use example book text_classification text classification computer for classification classification_tasks classification tasks library library_of_congress categories manual_classification manual classification scale multicore computer example alternative approach classification use queries can thought rules hand example multicore multi-core chip processor microprocessor rules equivalent boolean_expressions expressions rule combination keywords class rules scaling properties time labor intensive skilled domain expert writing regular_expressions expressions can rule_sets rule sets will accuracy classifiers will can find skill manual_classification manual classification rules approach text_classification text classification machine text_classification text classification approach focus next machine_learning machine learning set rules decision criterion text_classifier text classifier training_data training data approach statistical text classification learning_method learning method statistical statistical text classification number example documents training_documents training documents for class need for manual_classification manual classification training_documents training documents come labeling process document its class labeling task writing rules can document labeling workflow instance news_articles news standing_query query relevance_feedback relevance feedback moving relevant like general introduction text_classification text classification problem formal_definition formal definition cover naive_bayes simple effective classification_method classification method classification algorithms study documents high-dimensional spaces efficiency algorithms reduce dimensionality spaces technique feature_selection feature selection text_classification text classification covers evaluation text_classification text classification following families classification_methods classification methods vector_space vector space classifiers support_vector_machines support vector text_classification text classification problem naive_bayes text_classification text classification multinomial unigram_language_model unigram language model model_properties model naive_bayes variant multinomial_model multinomial model feature_selection selection mutual_information information feature_selection selection feature_selection feature selection chi-square feature_selection_method feature selection method feature_selection feature selection feature_selection selection for multiple_classifiers classifiers feature_selection feature selection methods text_classification text classification reading
iir_13_1	text_classification text classification problem text_classification text classification description document document space set classes categories labels document space type high-dimensional_space high-dimensional space classes human for needs application examples documents multicore computer training_set training set documents example learning_method learning method learning_algorithm learning algorithm learn classifier classification function maps documents classes type learning supervised_learning learning supervisor human classes labels training_documents training documents teacher learning_process learning process supervised_learning learning method write learning_method learning method training_set training set input classification function names for learning_methods learning methods for classifiers naive_bayes learning_method learning method naive_bayes robust meaning can learning problems classifiers naive_bayes error_rate error experiment classifier nb_learning learning method error_rate error application example text_classification text classification collection page classes sports training_documents training documents words for document content training_set training set typical examples for class can learn classification function can apply test_set test set test_data test data for example document first private airline class classification function document class assignment classes text_classification text classification structure hierarchy instances region categories industry categories area categories hierarchy can solving classification_problem classification problem see for discussion will make assumption text_classification text classification classes form set subset relationships training_set training set test_set test set text_classification text classification document class model for hierarchy instance document classes class sports class type classification_problem classification problem problem will page time problems document class goal text_classification text classification accuracy test_data test data data for example will encounter multicore chip example accuracy training_set training set can labels accuracy training_set training set general mean classifier will work data application use training_set training set learn classifier for test_data test data make assumption training_data training data test_data test data same distribution precise definition page
iir_13_2	naive_bayes text_classification text classification multinomial naive_bayes multinomial text_classification text classification goal find class for document class classification maximum class conditional_probabilities probabilities for position can result floating_point point computation probabilities probabilities class log probability_score probability score logarithm function monotonic implementations simple interpretation parameter weight indicator for weight relative_frequency relative frequency classes class classes sum log term_weights term weights measure evidence for document class class for evidence will work intuitive interpretation multinomial model formal_derivation formal derivation estimate parameters first maximum_likelihood_estimate maximum likelihood estimate relative_frequency relative frequency value parameter training_data training data priors estimate estimate conditional_probability probability relative_frequency relative frequency term documents belonging class positional independence_assumption independence assumption problem estimate zero for combination training_data training data term training_data training data documents estimates for classes for example will zero naive_bayes algorithm multinomial_model multinomial model testing zeros use laplace_smoothing smoothing term class now elements need for training classifier algorithm for parameter_estimation parameter estimation examples words document training_set training set test_set test set example example multinomial parameters need test document priors following conditional_probabilities probabilities example test times for mode time_complexity time complexity training testing use notation for length training collection for average time_complexity time complexity terms statistics training collections time_complexity time complexity tokens types test document can length test documents bounded for time general training testing complexity linear time scan data data least can optimal time_complexity time complexity efficiency why popular text_classification text classification method multinomial unigram language model
iir_13_2_1	multinomial unigram_language_model unigram language model estimates page problem zero estimates sparse_data sparse data page add-one_smoothing smoothing distributions address problem add-one_smoothing smoothing add smoothing page for text_collections text collections
iir_13_3	model can set classifier model section multinomial_model multinomial model term vocabulary position document generative_model generative model will detail see page alternative multinomial_model multinomial model multivariate model model equivalent binary independence_model independence model page indicator for term vocabulary presence term document absence training testing algorithms for model model same time_complexity time complexity multinomial_model multinomial model generation models estimation strategies classification_rules classification rules model estimates documents class term line contrast multinomial_model multinomial model estimates tokens documents class term classifying test document model binary occurrence information number multinomial_model multinomial model track result model classifying documents example book class occurrence term models terms classification affect classification decision multinomial_model multinomial model model probability computing model models absence terms example model example same estimates for priors conditional_probabilities probabilities documents document for term occurrence test document for classes example
iir_13_4	naive_bayes can description generative process text_classification text classification document first class probability top nodes models formalization step generation document class conditional_distribution distribution now why document space classification_problem classification problem critical step solving text_classification text classification problem document representation document representations first case set term sequences sequences term tokens case can use for text_classification text classification model estimate parameters for combination values class number parameters multinomial case same order very_large large estimating parameters reduce number parameters make naive_bayes conditional_independence independence assumption attribute values independent class multinomial model model conditional_independence independence assumption class values for term attributes multinomial binary attributes probability independent values attributes fact document class term make reality conditional_independence independence assumption for text_data text data dependent will models conditional_independence independence assumption conditional_independence independence parameters for multinomial_model multinomial model probability_distribution probability distribution for position document position term document information class difference occurrence position position document classification term conditional_independence independence assumption way processing evidence term distributions for position estimate set parameters for probability bean first term document term problems estimation data_sparseness data reasons make independence_assumption independence assumption for multinomial_model multinomial model positional independence conditional_probabilities probabilities for term same independent position document bag_of_words bag words positional independence assumptions need estimate parameters multinomial_model multinomial model model for combination number least exponential size vocabulary independence assumptions reduce number parameters summarize document multinomial_model multinomial model first picking class random_variable random variable values values term position for document same distribution terms for example generation document join document_generation document generation model distribution multinomial_model multinomial model token generation_model generation model document_generation document generation model document model first picking class binary indicator for term vocabulary example generation document join word model multinomial_model multinomial model model event_model event model generation token generation document random_variable random variable pos document_representation document representation parameter_estimation parameter estimation decision_rule decision rule account length can handle for features can handle estimate for term models estimation equations decision_rules decision rules naive_bayes independence assumptions naive for model natural_language natural language conditional_independence independence assumption states features independent class true for terms documents true london english examples dependent terms multinomial_model multinomial model assumption positional independence model documents absence presence bag-of-words_model bag-of-words model information order words natural_language_sentences natural language sentences can text_classifier text classifier its model natural_language natural language estimation accurate prediction accurate prediction estimation class true probability estimate answer probability estimates quality its classification decisions document true probabilities terms positive indicators for terms negative indicators for multinomial_model multinomial model will table division probabilities for estimate class classification probability classes estimates true probabilities classification decision class score matter accurate estimates estimates estimates probability for class estimation accurate prediction accurate prediction estimation classifiers estimate method accuracy for text make for text_classification text classification features contribute classification decision robust noise features next section concept_drift concept drift change time concept class like president see like knn can properties time period will documents following time period properties model robust respect concept_drift concept drift will see can performance terms indicators for class change model features maintain accuracy concept_drift concept drift strength its efficiency classification can data efficiency accuracy baseline text_classification_research text classification research method choice points accuracy worth text_classification text classification application very_large large training_data training data training data classifier training_set training set its robustness concept_drift concept drift can set documents for independence assumptions book classifier for text independence assumptions for text can optimal classifier sense minimal error_rate error data for data independence assumptions variant multinomial model
iir_13_4_1	variant multinomial_model multinomial model equivalent sequence_model sequence model for terms term times will contribute factors documents bag_of_words bag words representations for model multinomial_model multinomial model differences rationale for positional independence_assumption independence assumption information fact term position document exceptions documents document_structure document structure multinomial estimates for word difference
iir_13_5	feature_selection selection feature_selection selection noise feature overfitting feature_selection_algorithm feature selection algorithm for selecting features can view feature_selection feature selection method for complex classifier features subset features first classifier statistical text classification bias-variance_tradeoff tradeoff page will see models training_data training data basic feature_selection_algorithm feature selection algorithm class compute utility measure for term vocabulary select terms values terms classification will utility measures section mutual_information information test frequency models model sensitive noise features classifier form feature_selection feature selection its accuracy will section feature_selection feature selection for two-class_classification classification tasks like optimizations for systems classes mutual_information information feature_selection selection feature_selection feature selection chi-square feature_selection_method feature selection method feature_selection feature selection feature_selection selection for multiple_classifiers classifiers feature_selection feature selection methods
iir_13_5_1	mutual_information information feature_selection_method feature selection method compute mutual_information information term class measures information term making classification decision probabilities equivalent example class term export number documents indicator values example select terms for class use feature_selection_algorithm feature selection algorithm compute utility measure select terms values mutual_information information measures information information-theoretic sense term class term distribution same class collection its maximum value term perfect indicator for class_membership class membership term present document if_and_only_if document class mutual_information information for classes terms mutual_information information for classes terms london for class utility for making classification decisions for classes bottom list for find terms like peripherals figure helpful document class keeping informative terms reduce noise classifier accuracy feature_set feature set size accuracy for multinomial models
iir_13_5_2	feature_selection selection independent example first compute for data compute same way values value example measure value hypothesis independence example can reject hypothesis export independent chance outcome events dependent occurrence term occurrence class helpful feature rationale feature_selection feature selection values distribution one_degree_of_freedom degree freedom example events independent for assumption independence can confidence critical_value critical value way computing following feature_selection feature selection chi-square feature selection method
iir_13_5_3	feature_selection feature selection feature_selection feature selection feature_selection feature selection terms information class for example days classes text features feature_selection feature selection suboptimal accuracy feature_selection feature selection can alternative complex methods case feature_selection feature selection
iir_13_5_4	feature_selection selection for multiple_classifiers classifiers feature_selection feature selection statistics first for class two-class_classification classification task combination method figure_of_merit figure for feature for example averaging values for feature features figures combination method top features for classifiers sets global_feature global feature set classification_accuracy accuracy selecting features for system classifiers sets size gain efficiency document_representation document representation worth loss accuracy
iir_13_5_5	feature_selection feature selection methods differences methods classification_accuracy classification accuracy feature_sets feature sets seem text_classification text classification problems indicators indicators indicators large number indicators accuracy methods feature_selection feature selection for multinomial_model multinomial model effectiveness same for methods features features cover documents class features range quality methods frequency greedy methods select features contribute incremental information features term redundant redundancy can impact accuracy methods see for references text_classification text classification cost following frequencies for class for terms first documents term brazil terms mutual_information information frequency
iir_13_6	text_classification text classification collection benchmark for text_classification text classification evaluation collection course text_classification text classification system collection page classes set topic categories document classes none case single_assignment assignment documents least class average classes standard approach problem page learn classifiers for class classifier for class classifier for classes its complement classes collection number documents training test sets class train test class train test trade acquisitions interest ship grain classifiers can measure recall precision accuracy work people use split documents human indexer training_documents training documents test documents distribution documents classes work systems documents classes typical document topics goal text_classification text classification minimization classification_error classification error test_data test data classification_error error classification_accuracy classification accuracy decisions measure page measure documents class accuracy measure for small classes strategy purpose building classifier will accuracy classifier accurate for class relative_frequency relative frequency small classes precision recall measures will use effectiveness generic term for measures evaluate quality classification decisions precision recall accuracy computational_efficiency efficiency classification systems book researchers mean effectiveness efficiency text_classification text classification use term performance sample document collection process collection classifiers its classes compute aggregate measure measures for individual classifiers methods for simple average classes decisions classes effectiveness measure contingency_table contingency table example differences methods can large weight class weight classification decision measure true negatives its number true large_classes large classes small classes example precision precision precision times results measure effectiveness large_classes large classes test_collection test collection sense effectiveness small classes compute results true class call decision classifier example precision precision class call call class call call table call call text_classification classification effectiveness for trees classes classes trees grain trade interest ship top classes n/a n/a classification same accuracy effectiveness naive_bayes for split sense relative effectiveness linear see effective classifiers train relative classes small effectiveness penalty for its simplicity efficiency small classes order positive examples training_set training set relative classes table classifiers cover book for decision_trees decision trees classification_method classification method cover bottom table variation class class instance ship table degree papers results fact page classes true knowledge test_set test set classes typical results text_classification text classification differences experimental setup evaluation interpretation results results average effectiveness classifiers like independent distributed data data properties statistical_sampling statistical sampling differences invisible real_world real training_sample training sample subset data classifier will nature data time stationary problem concept_drift concept drift page errors data problems practitioners experience build classifier for problem results researchers ranking classifiers class document collection experimental setup text_classification text classification machine_learning_algorithm machine learning algorithm page evaluations like maintain separation training_set training set test_set test set can make classification decisions test_set test set information test_set test set fact term predictor test_set test set case training_set training set subtle example knowledge test_set test set large number values parameter number features select value for test_set test set rule accuracy data type data will encounter use classifier application will lower accuracy test_set test set classifier for same problem ad_hoc_retrieval retrieval page clean statistical text classification experiment program test_set test set text_classification text classification system set development_set development set for testing method set purpose value for parameter for example number features data classifier rest training_set training set parameter_values parameter values select value results training_set training set parameters set method final experiment test_set test set publish results information test_set test set classifier results experiment performance practice ideal can researchers evaluate systems same test_set test set period test_data test data systems rule results validity system test_data test data running variant systems keeping system test_set test set situation document test_collection test collection class classifier class document setup classification classification number false_positive false positive decisions equals number false_negative false negative decisions accuracy class priors documents class tokens class function time_complexity time complexity function its time_complexity time complexity for parameter_estimation parameter estimation exercise words document training_set training set test_set test set data estimate multinomial naive_bayes_classifier classifier apply classifier test document estimate classifier apply classifier test document need estimate parameters need for classifying test document task words following distribution event word probability zoo parameters priors conditionals multinomial classifier features training_set training set probability distribution same independence assumptions for multinomial classifier terms features for text_classification text classification parameters smoothing probabilities probability probabilities smoothing cause classifier word zoo word zoo multinomial classifier make assumption positional independence estimate parameters for position word need compute parameters need for classifying zoo values term class independent values dependent feature_selection_method feature selection method for model for multinomial_model multinomial model can information_gain information gain entropy training_set training set subset term subset term class_distribution class distribution collection documents class mutual_information information information gain equivalent formulas equivalent example page general mutual_information information features text_classification text classification features rule selection negative indicators
iir_13_7	reading introductions statistical_classification statistical classification machine_learning machine learning can 2000 methods decision_trees decision trees boosting cover review text_classification text classification methods results accessible introduction text_classification text classification coverage decision_trees decision trees perceptrons maximum_entropy_models maximum entropy models information time_complexity time complexity learning_methods learning methods accurate naive_bayes can first text classifiers history classification multinomial models accuracy for collections present models analyze why its probability_estimates probability estimates poor first paper optimality independence assumptions true data document_representation document representation independence assumptions 2000 attributes probability_estimates probability estimates effect document_length document length discriminative_methods methods its optimal error_rate error basic model can for effectiveness problem concept_drift concept drift reasons why classifiers excel practice mutual_information information for feature_selection feature selection text_classification text classification review feature_selection feature selection methods impact classification effectiveness find pointwise_mutual_information information competitive methods mutual_information information information_gain information gain see page reference for test statistics correction for continuity for tables problems test small feature_selection feature selection techniques significance_tests significance tests methods methods for feature_selection feature selection for multiple_classifiers classifiers split utility measures for evaluation text_classification text classification systems significance_tests significance tests evaluation text_classification text classification methods find
